timestamp,position,price,equity
2020-08-27,1,348.33,1.1209669276317025
2020-08-28,1,350.58,1.1282076923868811
2020-08-31,1,349.31,1.1241206829472916
2020-09-01,1,352.6,1.1347082900781973
2020-09-02,1,357.7,1.1511206901899351
2020-09-03,1,345.39,1.1115056616849364
2020-09-04,1,342.57,1.102430569858446
2020-09-08,0,333.21,1.071772833982665
2020-09-09,0,339.79,1.071772833982665
2020-09-10,0,333.89,1.071772833982665
2020-09-11,0,334.06,1.071772833982665
2020-09-14,0,338.46,1.071772833982665
2020-09-15,0,340.17,1.071772833982665
2020-09-16,0,338.82,1.071772833982665
2020-09-17,0,335.84,1.071772833982665
2020-09-18,0,330.65,1.071772833982665
2020-09-21,0,326.97,1.071772833982665
2020-09-22,0,330.3,1.071772833982665
2020-09-23,0,322.64,1.071772833982665
2020-09-24,0,323.5,1.071772833982665
2020-09-25,0,328.73,1.071772833982665
2020-09-28,0,334.19,1.071772833982665
2020-09-29,0,332.37,1.071772833982665
2020-09-30,0,334.89,1.071772833982665
2020-10-01,0,337.04,1.071772833982665
2020-10-02,0,333.84,1.071772833982665
2020-10-05,0,339.76,1.071772833982665
2020-10-06,0,334.93,1.071772833982665
2020-10-07,0,340.76,1.071772833982665
2020-10-08,1,343.78,1.0712369475656738
2020-10-09,1,346.85,1.0808032324834314
2020-10-12,1,352.43,1.098190812236228
2020-10-13,1,350.13,1.091023888682208
2020-10-14,1,347.93,1.0841685705001016
2020-10-15,1,347.5,1.0828286674008718
2020-10-16,1,347.29,1.0821742961198526
2020-10-19,1,342.01,1.0657215324827976
2020-10-20,1,343.38,1.0699905260780183
2020-10-21,1,342.73,1.0679650911605778
2020-10-22,1,344.61,1.0738232721525593
2020-10-23,1,345.78,1.077469055003952
2020-10-26,1,339.39,1.0575574717386527
2020-10-27,0,338.22,1.0533847330428163
2020-10-28,0,326.66,1.0533847330428163
2020-10-29,0,329.98,1.0533847330428163
2020-10-30,0,326.54,1.0533847330428163
2020-11-02,0,330.2,1.0533847330428163
2020-11-03,0,336.03,1.0533847330428163
2020-11-04,0,343.54,1.0533847330428163
2020-11-05,1,350.24,1.052858040676295
2020-11-06,1,350.16,1.052617552316159
2020-11-09,1,354.56,1.06584441212365
2020-11-10,1,354.04,1.0642812377827648
2020-11-11,1,356.67,1.0721872926222424
2020-11-12,1,353.21,1.0617861710463514
2020-11-13,1,358.1,1.076486022059677
2020-11-16,1,362.57,1.0899233091822873
2020-11-17,1,360.62,1.0840614054039674
2020-11-18,1,356.28,1.0710149118665784
2020-11-19,1,357.78,1.0755240686191323
2020-11-20,1,355.33,1.0681591125899612
2020-11-23,1,357.46,1.0745621151785878
2020-11-24,1,363.22,1.0918772771083944
2020-11-25,1,362.66,1.090193858587441
2020-11-27,1,363.67,1.0932300241341604
2020-11-30,1,362.06,1.0883901958864193
2020-12-01,1,366.02,1.1002943697131613
2020-12-02,1,366.79,1.1026090701794722
2020-12-03,1,366.69,1.1023084597293018
2020-12-04,1,369.85,1.111807749954682
2020-12-07,1,369.09,1.1095231105333878
2020-12-08,1,370.17,1.1127697033952266
2020-12-09,1,366.85,1.1027894364495743
2020-12-10,1,366.73,1.1024287039093699
2020-12-11,1,366.3,1.1011360789736377
2020-12-14,1,364.66,1.0962060675908456
2020-12-15,1,369.59,1.111026162784239
2020-12-16,1,370.17,1.1127697033952266
2020-12-17,1,372.24,1.118992339713751
2020-12-18,1,369.18,1.1097936599385412
2020-12-21,1,367.86,1.105825601996294
2020-12-22,1,367.24,1.1039618172052383
2020-12-23,1,367.57,1.1049538316908
2020-12-24,1,369.0,1.1092525611282347
2020-12-28,1,372.17,1.1187819123986318
2020-12-29,1,371.46,1.1166475782024228
2020-12-30,1,371.99,1.118240813588325
2020-12-31,1,373.88,1.1239223510965428
2021-01-04,1,368.79,1.108621279182877
2021-01-05,1,371.33,1.1162567846172011
2021-01-06,1,373.55,1.1229303366109809
2021-01-07,1,379.1,1.13961421659543
2021-01-08,1,381.26,1.1461074023191073
2021-01-11,1,378.69,1.1383817137497318
2021-01-12,1,378.77,1.138622202109868
2021-01-13,1,379.79,1.1416884287016047
2021-01-14,1,378.46,1.1376903097143403
2021-01-15,1,375.7,1.1293934612896412
2021-01-19,1,378.65,1.1382614695696636
2021-01-20,1,383.89,1.1540134571585847
2021-01-21,1,384.24,1.1550655937341807
2021-01-22,1,382.88,1.1509772916118652
2021-01-25,1,384.39,1.155516509409436
2021-01-26,1,383.79,1.1537128467084146
2021-01-27,0,374.41,1.1249528286892037
2021-01-28,0,377.63,1.1249528286892037
2021-01-29,0,370.07,1.1249528286892037
2021-02-01,0,376.23,1.1249528286892037
2021-02-02,0,381.55,1.1249528286892037
2021-02-03,0,381.85,1.1249528286892037
2021-02-04,1,386.19,1.124390352274859
2021-02-05,1,387.71,1.1288158250614608
2021-02-08,1,390.51,1.1369680117736223
2021-02-09,1,390.25,1.136211023007493
2021-02-10,1,390.08,1.1357160688142547
2021-02-11,1,390.71,1.1375503108244909
2021-02-12,1,392.64,1.1431694966653736
2021-02-16,1,392.3,1.142179588278897
2021-02-17,1,392.39,1.1424416228517877
2021-02-18,1,390.72,1.1375794257770344
