timestamp,open,high,low,close,volume
2021-08-20,440.2300,443.7100,439.7100,443.3600,72008712
2021-08-19,436.2700,441.1400,436.1200,439.8600,92812246
2021-08-18,442.9600,444.6250,438.9200,439.1800,89351931
2021-08-17,444.2400,444.9600,440.8500,444.0400,92673933
2021-08-16,444.5300,447.1100,442.8700,446.9700,73930864
2021-08-13,445.5900,445.9400,445.0700,445.9200,38673164
2021-08-12,443.6200,445.2572,442.6600,445.1100,38942418
2021-08-11,443.8200,443.8820,442.6200,443.7800,44034340
2021-08-10,442.6100,443.4400,441.8800,442.6800,43339275
2021-08-09,442.4600,442.7950,441.3100,442.1300,41222585
2021-08-06,442.1000,442.9400,441.8000,442.4900,46930008
2021-08-05,440.2200,441.8500,439.8800,441.7600,38969659
2021-08-04,439.7800,441.1243,438.7300,438.9800,46732212
2021-08-03,438.4400,441.2800,436.1000,441.1500,58053896
2021-08-02,440.3400,440.9300,437.2100,437.5900,58783297
2021-07-30,437.9100,440.0600,437.7700,438.5100,68951202
2021-07-29,439.8150,441.8000,439.8100,440.6500,45910298
2021-07-28,439.6800,440.3000,437.3100,438.8300,52472360
2021-07-27,439.9100,439.9400,435.9900,439.0100,67397137
2021-07-26,439.3100,441.0300,439.2600,441.0200,43719187
2021-07-23,437.5200,440.3000,436.7900,439.9400,63766637
2021-07-22,434.7400,435.7200,433.6900,435.4600,47878539
2021-07-21,432.3400,434.7000,431.0111,434.5500,64724389
2021-07-20,425.6800,432.4200,424.8300,431.0600,99608174
2021-07-19,426.1900,431.4089,421.9700,424.9700,147987000
2021-07-16,436.0100,436.0600,430.9200,431.3400,75874662
2021-07-15,434.8100,435.5300,432.7200,434.7500,55126358
2021-07-14,437.4000,437.9200,434.9100,436.2400,64130352
2021-07-13,436.2400,437.8400,435.3100,435.5900,52911312
2021-07-12,435.4300,437.3500,434.9700,437.0800,52889585
2021-07-09,432.5300,435.8400,430.7140,435.5200,76238584
2021-07-08,428.7800,431.7300,427.5200,430.9200,97595232
2021-07-07,433.6600,434.7600,431.5100,434.4600,63549456
2021-07-06,433.7800,434.0100,430.0100,432.9300,68710419
2021-07-02,431.6700,434.1000,430.5218,433.7200,57697668
2021-07-01,428.8700,430.6000,428.8000,430.4300,53441027
2021-06-30,427.2100,428.7800,427.1800,428.0600,64827858
2021-06-29,427.8800,428.5600,427.1300,427.7000,35970515
2021-06-28,427.1700,427.6500,425.8900,427.4700,53159581
2021-06-25,425.9000,427.0943,425.5500,426.6100,58129525
2021-06-24,424.8900,425.5500,424.6200,425.1000,45110288
2021-06-23,423.1900,424.0500,422.5100,422.6000,49445414
2021-06-22,420.8500,424.0000,420.0800,423.1100,57700303
2021-06-21,416.8000,421.0600,415.9300,420.8600,72822028
2021-06-18,417.0900,417.8281,414.7000,414.9200,118676302
2021-06-17,421.6700,423.0200,419.3200,421.9700,90949659
2021-06-16,424.6300,424.8700,419.9200,422.1100,79250069
2021-06-15,425.4200,425.4600,423.5400,424.4800,51508508
2021-06-14,424.4300,425.3700,423.1000,425.2600,42358478
2021-06-11,424.2000,424.4300,422.8200,424.3100,45570828
2021-06-10,422.9600,424.6300,421.5500,423.6100,51020147
2021-06-09,423.1800,423.2600,421.4100,421.6500,48436342
2021-06-08,423.1100,423.2100,420.3200,422.2800,47134279
2021-06-07,422.5900,422.7800,421.1900,422.1900,51555032
2021-06-04,420.7500,422.9200,418.8422,422.6000,55938789
2021-06-03,417.8500,419.9900,416.2800,418.7700,58138763
2021-06-02,420.3700,421.2300,419.2900,420.3300,49097061
2021-06-01,422.5700,422.7200,419.2000,419.6700,54216625
2021-05-28,420.9700,421.2500,419.7900,420.0400,58520164
2021-05-27,420.1700,420.7200,418.9851,419.2900,56707677
2021-05-26,418.8700,419.6100,417.7600,419.0700,43088618
2021-05-25,420.3300,420.7100,417.6200,418.2400,57451396
2021-05-24,417.3400,420.3200,417.0800,419.1700,51376702
2021-05-21,416.8700,418.2000,414.4500,414.9400,76578662
2021-05-20,411.8000,416.6250,411.6700,415.2800,78022218
2021-05-19,406.9200,411.0500,405.3300,410.8600,106467052
2021-05-18,415.8000,416.0600,411.7700,411.9400,59810238
2021-05-17,415.3900,416.3900,413.3600,415.5200,65129221
2021-05-14,413.2100,417.4900,413.1800,416.5800,82201629
2021-05-13,407.0700,412.3500,407.0200,410.2800,106393963
2021-05-12,411.2300,412.5900,404.0000,405.4100,134811046
2021-05-11,413.1000,415.2700,410.0600,414.2100,116887975
2021-05-10,422.5000,422.7400,417.8100,417.9400,81852446
2021-05-07,419.8900,422.8150,419.1600,422.1200,67733790
2021-05-06,415.8300,419.2100,413.6750,419.0700,74321368
2021-05-05,417.3800,417.6300,415.1500,415.7500,39960661
2021-05-04,416.0700,416.6000,411.6700,415.6200,101591166
2021-05-03,419.4300,419.8400,417.6650,418.2000,68128289
2021-04-30,417.6300,418.5400,416.3400,417.3000,85527030
2021-04-29,420.3200,420.7200,416.4400,420.0600,78544329
2021-04-28,417.8100,419.0100,416.9000,417.4000,51238854
2021-04-27,417.9300,418.1400,416.3000,417.5200,51303056
2021-04-26,417.4400,418.2200,416.8111,417.6100,52182392
2021-04-23,412.8700,418.2500,412.7900,416.7400,73276195
2021-04-22,415.8900,416.7800,411.1300,412.2700,97582788
2021-04-21,411.5100,416.2900,411.3600,416.0700,66792983
2021-04-20,413.9100,415.0859,410.5900,412.1700,81851828
2021-04-19,416.2600,416.7400,413.7900,415.2100,78498496
2021-04-16,417.2500,417.9100,415.7300,417.2600,82037278
2021-04-15,413.7400,416.1600,413.6900,415.8700,60229842
2021-04-14,412.8300,413.9600,410.8700,411.4500,61659907
2021-04-13,411.5300,413.5290,411.1200,412.8600,56550988
2021-04-12,410.8500,411.9300,410.2000,411.6400,56704899
2021-04-09,408.3900,411.6700,408.2600,411.4900,61104559
2021-04-08,407.9300,408.5800,406.9300,408.5200,57863114
2021-04-07,405.9400,406.9600,405.4500,406.5900,55836280
2021-04-06,405.7600,407.2400,405.4000,406.1200,62020953
2021-04-05,403.4600,406.9400,403.3800,406.3600,91684764
2021-04-01,398.4000,400.6700,398.1800,400.6100,99682876
2021-03-31,395.3400,398.0000,395.3100,396.3300,112734214
2021-03-30,394.4200,395.4500,393.0200,394.7300,76262249
2021-03-29,394.4000,396.7500,392.8100,395.7800,108107626
2021-03-26,390.9300,396.4100,390.2900,395.9800,114409114
2021-03-25,385.9800,390.5500,383.9000,389.7000,116128622
2021-03-24,391.0000,392.7500,387.4700,387.5200,97588644
2021-03-23,391.9100,393.4600,388.6600,389.5000,90686552
2021-03-22,390.0300,394.0700,389.9700,392.5900,73778646
2021-03-19,389.8800,391.5690,387.1500,389.4800,113624490
2021-03-18,394.4750,396.7200,390.7500,391.4800,115349101
2021-03-17,394.5300,398.1200,393.3000,397.2600,97959265
2021-03-16,397.0700,397.8300,395.0800,395.9100,73722506
2021-03-15,394.3300,396.6850,392.0300,396.4100,73592302
2021-03-12,392.0700,394.2100,391.2000,394.0600,64653565
2021-03-11,392.2300,395.6500,391.7400,393.5300,86245040
2021-03-10,389.6900,391.4000,388.1702,389.5800,109899410
2021-03-09,385.8500,389.9100,381.7299,387.1700,113633556
2021-03-08,384.6600,387.6800,381.4200,381.7200,123149245
2021-03-05,380.4600,384.7600,372.6400,383.6300,152039624
2021-03-04,381.2200,384.0000,371.8800,376.7000,183433020
2021-03-03,385.7900,386.8300,381.3100,381.4200,119940211
2021-03-02,389.8200,390.0700,386.0000,386.5400,79595332
2021-03-01,385.5900,390.9200,380.5720,389.5800,105348798
2021-02-26,384.3500,385.5800,378.2300,380.3600,149530614
2021-02-25,390.4100,391.8800,380.7789,382.3300,144712701
2021-02-24,386.3300,392.2300,385.2700,391.7700,72433946
2021-02-23,384.6600,388.9450,380.2000,387.5000,107284127
2021-02-22,387.0600,389.6200,386.7400,387.0300,66517089
2021-02-19,392.0700,392.3800,389.5500,390.0300,83240971
2021-02-18,389.5900,391.5150,387.7400,390.7200,59712773
2021-02-17,390.4200,392.6600,389.3300,392.3900,51746878
2021-02-16,393.9600,394.1700,391.5300,392.3000,50972366
2021-02-12,389.8500,392.9000,389.7700,392.6400,50593270
2021-02-11,391.2400,391.6900,388.1000,390.7100,42913288
2021-02-10,392.1200,392.2800,387.5000,390.0800,58362935
2021-02-09,389.6100,390.8900,389.1700,390.2500,34142633
2021-02-08,389.2700,390.5600,388.3500,390.5100,38365185
2021-02-05,388.2000,388.4700,386.1444,387.7100,48669773
2021-02-04,382.9600,386.2400,381.9655,386.1900,47142555
2021-02-03,382.4350,383.7000,380.4800,381.8500,52427090
2021-02-02,379.6500,383.2200,376.3181,381.5500,62923781
2021-02-01,373.7200,377.3400,370.3760,376.2300,75817597
2021-01-29,375.6300,376.6700,368.2700,370.0700,126765121
2021-01-28,376.3600,381.9300,375.8900,377.6300,94198104
2021-01-27,380.2200,380.3200,372.0100,374.4100,123351078
2021-01-26,385.4100,385.8500,383.5400,383.7900,42665281
2021-01-25,383.6700,384.7700,378.4600,384.3900,70401971
2021-01-22,382.2500,384.1256,381.8350,382.8800,52136931
2021-01-21,384.4900,384.9500,383.2500,384.2400,47955809
2021-01-20,381.1100,384.7900,380.6900,383.8900,61836062
2021-01-19,378.3400,379.2300,376.7500,378.6500,51233300
2021-01-15,376.7200,377.5800,373.7000,375.7000,107159962
2021-01-14,380.5900,381.1300,378.1000,378.4600,49989113
2021-01-13,378.6900,380.8600,377.8500,379.7900,45303619
